nohup: ignoring input
Using: A100-PCIE-40GB
Tuning sw_source_kernel<double, 0>
Using: A100-PCIE-40GB
Tuning sw_adding_kernel<double, 0>
Using: A100-PCIE-40GB
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=1, recompute_denom=1, time=1.746ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=2, recompute_denom=0, time=1.937ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=2, recompute_denom=1, time=2.292ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=4, recompute_denom=0, time=2.320ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=4, recompute_denom=1, time=2.177ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.279ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=5, recompute_denom=1, time=2.220ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.289ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=7, recompute_denom=1, time=2.206ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.246ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.282ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.252ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=14, recompute_denom=1, time=2.278ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=20, recompute_denom=0, time=2.282ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.156ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=28, recompute_denom=0, time=2.284ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=28, recompute_denom=1, time=2.189ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=35, recompute_denom=0, time=2.272ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=35, recompute_denom=1, time=2.182ms, registers=50
